Venue Name,Venue type,Venue address,Latitude,Longitude
"Bundara Park, Keperra",Park,"Bundara Park, 5 Shaun Place, Keperra",-27.4183,152.9392
"Bunyapa Park, West End",Park,"Bunyapa Park, 68 Vulture Street, West End",-27.480656,153.011147
"Buranda Playground Park, Woolloongabba",Park,"Buranda Playground Park, 34 Sword Street, Woolloongabba",-27.4939,153.0428
"Burn Street Park, Camp Hill",Park,"Burn Street Park, 35 Long Street, Camp Hill",-27.4955,153.0835
"Burnett Lane, Brisbane City",General Council venue,"Burnett Lane, Brisbane City",-27.4697,153.0242
"Burnie Brae Park, Chermside","Community Garden,Park","Burnie Brae Park, 106 Meemar Street, Chermside",-27.3897,153.0354
"Bushy Park, Sunnybank Hills",Park,"Bushy Park , 14 Jales Street, Sunnybank Hills",-27.5913,153.0462
Byrne's Paddock Park,Park,"Byrne's Paddock Park, 21 Federation Street, Windsor",-27.440784,153.0317408
"Byron Street Park, Runcorn",Park,"Byron Street Park, 2 Byron Street, Runcorn",-27.6007,153.0668
"C. Slaughter Park, Bracken Ridge",Park,"C. Slaughter Park, 21 Raines Court, Bracken Ridge",-27.327,153.0357
"C.A. O'Sullivan Park, Acacia Ridge",Park,"C.A. O'Sullivan Park, 1367 Beaudesert Road, Acacia Ridge",-27.5865,153.0254
"C.B. Mott Park, Holland Park",Park,"C.B. Mott Park, 49 Abbotsleigh Street, Holland Park",-27.5156,153.0594
"C.J. Greenfield Complex Park, Richlands",Park,"C.J. Greenfield Complex Park, 149 Kimberley Street, Richlands",-27.578277,152.963029
"C.J. Greenfield Sports Complex, Richlands",Park,"C.J. Greenfield Sports Complex, 149 Kimberley Street, Richlands",-27.5798,152.9628
"C.P. Bottomley Park, Norman Park",Park,"C.P. Bottomley Park, 31 Halifax Street, Norman Park",-27.4839,153.061
"C.T. White Park, Kangaroo Point",Park,"C.T. White Park, 22 Bright Street, Kangaroo Point",-27.4698,153.0343
"Cadogan Street Park, Carindale",Park,"Cadogan Street Park, 199 Meadowlands Road, Carindale",-27.4985,153.117
"Calamvale District Park, Calamvale",Park,"Calamvale District Park, 31 Formby Street, Calamvale",-27.6212,153.0381
"Calamvista Park, Calamvale",Park,"Calamvista Park, 20 Monsour Street, Calamvale",-27.6171,153.0591
"California Lane, Fortitude Valley",General Council venue,"California Lane, 22 McLachlan Street, Fortitude Valley",-27.458615,153.035563
"Calliope Circuit Park, Murarrie",Park,"Calliope Circuit Park, 11 Calliope Circuit, Murarrie",-27.4637,153.0941
"Camelot Park, Middle Park",Park,"Camelot Park, 33 Camelot Crescent, Middle Park",-27.5585,152.9227
"Cameron Rocks Reserve, Hamilton",Park,"Cameron Rocks Reserve, 79 Kingsford Smith Drive, Hamilton",-27.441,153.0484
"Camoola Street Park, Keperra",Park,"Camoola Street Park, 62 Camoola Street, Keperra",-27.4106,152.9437
"Cannes Street Park, Wakerley",Park,"Cannes Street Park, 16 Caringbah Street, Wakerley",-27.477,153.1615
"Cannon Hill Bushland Reserve, Cannon Hill",Park,"Cannon Hill Bushland Reserve, 1833 Creek Road, Cannon Hill",-27.4735,153.1014
"Canterbury Park, Bald Hills",Park,"Canterbury Park, 63 Feuerriegel Road, Bald Hills",-27.3081,153.0067
"Cape Arid Park, Fitzgibbon",Park,"Cape Arid Park, 17 Cape Arid Park Way, Fitzgibbon",-27.3368,153.0244
"Capitol Drive Park, Jindalee",Park,"Capitol Drive Park, 78 Capitol Drive, Jindalee",-27.5399,152.9447
"Captain Burke Park, Kangaroo Point",Park,"Captain Burke Park, 117 Holman Street, Kangaroo Point",-27.4654,153.0349
"Captain Doug Hislop Park, Murarrie",Park,"Captain Doug Hislop Park, 69 Metroplex Avenue, Murarrie",-27.448844,153.098834
"Caravonica Court Park, Calamvale",Park,"Caravonica Court Park, 59 Chateau Street, Calamvale",-27.6153,153.0567
"Carew Street Park, Nundah",Park,"Carew Street Park, 46 Carew Street, Nundah",-27.4044,153.0511
Carina Library,Library,"Carina Library, Corner Mayfield Road and Nyrang Street, Carina",-27.4936,153.0898
Carindale Library,Library,"Carindale Library, Westfield Carindale, 1151 Creek Road (near Millennium Boulevard), Carindale",-27.5027,153.1002
Carindale PCYC,"Community Garden,Non-Council venue","Carindale PCYC, 27 Narracott Street, Carina",-27.4969,153.1004
"Carindale Recreation Reserve, Carindale",Park,"Carindale Recreation Reserve, 27 Cadogan Street, Carindale",-27.4979,153.1106
"Carinya Street Park, Indooroopilly",Park,"Carinya Street Park, 27 Tatong Street, Indooroopilly",-27.4949,152.9638
"Carl Street Park, Woolloongabba",Park,"Carl Street Park, 43 Carl Street, Woolloongabba",-27.4999,153.0374
"Carmichael Park, Tingalpa",Park,"Carmichael Park, 175 Boundary Street, Tingalpa",-27.4685,153.1252
"Carnarvon Way Park, Murarrie",Park,"Carnarvon Way Park, 38 Carnarvon Way, Murarrie",-27.4615,153.0955
Carole Park Community Park,Park,"Community Park, Southampton Road, Carole Park",-27.6153,152.9394
"Carole Park Community Park, Ellen Grove",Park,"Carole Park Community Park, 11A Southampton Road, Ellen Grove",-27.615322,152.939395
"Carole Park Swim Centre, Wacol",Swimming pool,"Carole Park Swim Centre, Corner Boundary Road and Waterford Road, Wacol",-27.6081,152.9339
"Cascade Drive Park (no. 20), Forest Lake",Park,"Cascade Drive Park (no. 20), 20 Cascade Drive, Forest Lake",-27.6281,152.9658
"Cascade Drive Park (no. 25), Forest Lake",Park,"Cascade Drive Park, 25 Cascade Drive, Forest Lake",-27.6292,152.9637
"Cassia Place Park, Taigum",Park,"Cassia Place Park, 20 Cassia Place, Taigum",-27.3347,153.048
Cassidy Crescent Park,Park,"Cassidy Crescent Park, 52 Cassidy Crescent, Bridgeman Downs",-27.3371687,153.0047398
"Catalina Park, Teneriffe",Park,"Catalina Park, 71 Macquarie Street, Teneriffe",-27.4609,153.0505
"Catania Street Park, Wishart",Park,"Catania Street Park, 39 Catania Street South, Wishart",-27.546,153.1001
"Cathedral Square, Brisbane City",Park,"Cathedral Square, 410 Ann Street, Brisbane City",-27.4635,153.0291
"Cavay Playground Park, Sunnybank Hills",Park,"Cavay Playground Park, 121 Morden Street, Sunnybank Hills",-27.5815,153.0396
"Cawonga Park, Oxley",Park,"Cawonga Park, 89 Oxley Station Road, Oxley",-27.5544,152.9758
"Ceccato Park, Carseldine",Park,"Ceccato Park, 30 Ray Street, Carseldine",-27.342189,153.02015
"Cedar Creek Cemetery, Upper Kedron",General Council venue,"Cedar Creek Cemetery, 47 Cemetery Road, Upper Kedron",-27.4131,152.924
Centacare North East Community Care,"Community Garden,Non-Council venue","Centacare North East Community Care, 20 Cambage Road, Northgate",-27.3973,153.0733
"Centenary Place Park, Fortitude Valley",Park,"Centenary Place Park, 85 Wickham Street, Fortitude Valley",-27.4609,153.032
"Centenary Pool, Spring Hill",Swimming pool,"Centenary Pool, 400 Gregory Terrace, Spring Hill",-27.455,153.024
"Central Street Park, Forest Lake",Park,"Central Street Park, 13 Central Street, Forest Lake",-27.6316,152.9609
"Chadwell Street Canoe Ramp, Ransome",General Council venue,"Chadwell Street Canoe Ramp, Chadwell Street, Ransome",-27.5013,153.1838
"Chandler Resource Recovery Centre, Chandler",General Council venue,"Chandler Resource Recovery Centre, 728 Tilley Road, Chandler (opposite the Sleeman Sports Complex)",-27.5145,153.1516
"Charles Fraser Park, Eight Mile Plains",Park,"Charles Fraser Park, 14 Manchester Street, Eight Mile Plains",-27.575,153.0928
"Chateau Street Park, Carseldine",Park,"Chateau Street Park, 11 Moselle Place, Carseldine",-27.3465,153.0083
"Chelmer Recreation Reserve, Chelmer",Park,"Chelmer Recreation Reserve, 83 Oxley Road, Chelmer",-27.5128,152.9748
"Chelsea Road Park (no. 303), Ransome",Park,"Chelsea Road Park (no. 303), 303 Chelsea Road, Ransome",-27.4913,153.183
"Chelsea Road Park (nos. 399-551), Ransome",Park,"Chelsea Road Park (nos. 399-551), 439 Chelsea Road, Ransome",-27.4803,153.182
"Chermside Hills Reserve, McDowall",Park,"Chermside Hills Reserve, 31 Walker Street, McDowall",-27.3771,152.9976
Chermside Library,Library,"Chermside Library, 375 Hamilton Road, Chermside",-27.381,153.0297
"Chermside Pool, Chermside",Swimming pool,"Chermside Pool, 375 Hamilton Road, Chermside",-27.3857991,153.0360006
"Chester Park Reserve, Mount Gravatt East",Park,"Chester Park Reserve, 138 Margate Street, Mt Gravatt East",-27.5292,153.0838
"Chesterfield Crescent Park, Kuraby",Park,"Chesterfield Crescent Park, 140 Chesterfield Crescent, Kuraby",-27.6071,153.0891
"Childs Road Park, Nudgee",Park,"Childs Road Park, 42 Morgan Circuit, Nudgee",-27.3698,153.0947
"Chinatown Mall, Fortitude Valley",General Council venue,"Chinatown Mall, Duncan St, Fortitude Valley",-27.4583,153.0334
"Chris Brunton Park, Bald Hills",Park,"Chris Brunton Park, 80 Elstree Street, Bald Hills",-27.315521,153.016687
"Christian and Margaret Nielsen Park, The Gap",Park,"Christian and Margaret Nielsen Park, 17 Parkside Crescent, The Gap",-27.4543,152.9355
"Churchill Circuit Park, Banyo",Park,"Churchill Circuit Park, 27 Churchill Circuit, Banyo",-27.3832,153.0798
"Cicada Park, Chapel Hill",Park,"Cicada Park, 38 Dillingen Street, Chapel Hill",-27.4961,152.942
"City Botanic Gardens, Brisbane City",Park,"City Botanic Gardens, 147 Alice Street, Brisbane City",-27.476,153.0277
"Clare Avenue Park, Wynnum West",Park,"Clare Avenue Park, 34 Clare Avenue, Wynnum West",-27.4387,153.1525
"Claremont Parade Park, Forest Lake",Park,"Claremont Parade Park, 18 Claremont Parade, Forest Lake",-27.6314,152.9732
"Clarina Street Park, Chapel Hill",Park,"Clarina Street Park, 2A Clarina Street, Chapel Hill",-27.5012,152.9609
"Clark Lane Park, Brisbane City",Park,"Clark Lane Park, 518 Queen Street, Brisbane City",-27.4635,153.0311
"Clark Park, Windsor",Park,"Clark Park, 381 Lutwyche Road, Windsor",-27.4271,153.0326
"Clarrie Beckingham Reserve, Bridgeman Downs",Park,"Clarrie Beckingham Reserve, 60 Glenvillan Place, Bridgeman Downs",-27.3638,152.9839
"Clem Masters Park, Deagon",Park,"Clem Masters Park, 31 Hickson Road, Deagon",-27.334,153.0644
"Clembury Place Park, Calamvale",Park,"Clembury Place Park, 138 Menser Street, Calamvale",-27.6229,153.0357
"Cliff Street Park, Sandgate",Park,"Cliff Street Park, 34 Seymour Street, Sandgate",-27.3205,153.073
"Cliffton Hill Peace Park, Annerley",Park,"Cliffton Hill Peace Park, 15 Tennessee Avenue, Annerley",-27.5237,153.0313
"Clifton Park, Moorooka",Park,"Clifton Park, 35 Delville Avenue, Moorooka",-27.5259,153.0242
"Clipper Street Park, Inala",Park,"Clipper Street Park, 71 Clipper Street, Inala",-27.6018,152.9694
"Cliveden Avenue Reserve, Oxley",Park,"Cliveden Avenue Reserve, 449 Cliveden Avenue, Oxley",-27.5515,152.9919
"Clivedon Park, Fig Tree Pocket",Park,"Clivedon Park, 62 Terrigal Street, Fig Tree Pocket",-27.5172,152.9592
"Cockatoo Place Park, Rochedale",Park,"Cockatoo Place Park, 11 Kyeema Street, Rochedale",-27.5624,153.1117
"Col Bennett Park, Algester",Park,"Col Bennett Park, 137 Ridgewood Road, Algester",-27.6155,153.0284
"Col Westaway Oval, Moggill",Park,"Col Westaway Oval, 10 Leopardwood Close, Moggill",-27.5725,152.8733
"Collingrove Place Park, Forest Lake",Park,"Collingrove Place Park, 29 Collingrove Place, Forest Lake",-27.6113,152.9622
"Colmslie Beach Reserve, Murarrie",Park,"Colmslie Beach Reserve, 152 Colmslie Road, Murrarie",-27.451,153.091
"Colmslie Pool, Morningside",Swimming pool,"Colmslie Pool, 400 Lytton Road, Morningside",-27.4535,153.0806
"Colmslie Reserve, Morningside",Park,"Colmslie Reserve, 420 Lytton Road, Morningside",-27.453,153.0824
"Conferta Place Park, Forest Lake",Park,"Conferta Place Park, 25 Conferta Place, Forest Lake",-27.6144,152.9652
"Conondale Park, Eight Mile Plains",Park,"Conondale Park, 120 Malbon Street, Eight Mile Plains",-27.5793,153.0758
"Considen Place Park, Bellbowrie",Park,"Considen Place Park, 16 Considen Place, Bellbowrie",-27.5667,152.8913
"Constellation Way Park, Lytton",Park,"Constellation Way Park, 197 Pritchard Street, Lytton",-27.4275,153.16
"Coochin Place Park, Tingalpa",Park,"Coochin Place Park, 15 Coochin Place, Tingalpa",-27.4706,153.141
"Coolabah Crescent Park, Bridgeman Downs",Park,"Coolabah Crescent Park, 27A Coolabah Crescent, Bridgeman Downs",-27.3641,152.9988
"Coonara Street Park, Holland Park",Park,"Coonara Street Park, 31 Coonara Street, Holland Park",-27.5137,153.0678
Coopers Plains Library,Library,"Coopers Plains Library, 109 Orange Grove Road, Coopers Plains",-27.5650525,153.0396605
"Coora Street Park, Wishart",Park,"Coora Street Park, 105 Coora Street, Wishart",-27.5577,153.1072
Coorparoo Community Garden,"Community Garden,Non-Council venue","Coorparoo Community Garden, 15 York Street, Coorparoo",-27.499,153.0627
Coorparoo Creek Reserve,Park,"Coorparoo Creek Reserve, 67 Holdsworth Street, Coorparoo",-27.494564,153.05549
Corbie Saint Park,Park,"Corbie Saint Park, Corbie Street, Ashgrove",-27.4386,153.0029
"Corbie Street Park, Ashgrove",Park,"Corbie Street Park, 46 Ferneydell Street, Ashgrove",-27.4391,153.0013
Corinda Library,Library,"Corinda Library, 641 Oxley Road, Corinda",-27.5389,152.9817
"Cormorant Street Park, Inala",Park,"Cormorant Street Park, 197 Poinsettia Street, Inala",-27.599,152.9704
"Corona Avenue Park, Ashgrove",Park,"Corona Avenue Park, 66 Corona Avenue, Ashgrove",-27.4416,152.9997
"Corramulling Park, The Gap",Park,"Corramulling Park, 136 Yoorala Street, The Gap",-27.4494,152.9387
"Cowie Road Park, Carseldine",Park,"Cowie Road Park, 109 Cowie Road, Carseldine",-27.3393,153.02
"Cowlishaw Street Park, Bowen Hills",Park,"Cowlishaw Street Park, 15 Cowlishaw Street, Bowen Hills, Australia",-27.4481,153.0419
"Cox Park, Lota",Park,"Cox Park, 64 Richard Street, Lota",-27.4692,153.1852
"Cracknell's Gully Park, Tarragindi",Park,"Cracknell's Gully Park, 207 Tarragindi Road, Tarragindi",-27.5283,153.0354
"Crawford Road Park, Wynnum West",Park,"Crawford Road Park, 79 Crawford Road, Wynnum West",-27.4491,153.1478
"Creekside Street Park, Kenmore Hills",Park,"Creekside Street Park, 61 Creekside Street, Kenmore Hills",-27.5035,152.9174
"Cresthaven Park, Mansfield",Park,"Cresthaven Park, 50 Banika Street, Mansfield",-27.5384,153.1098
"Cribb Road Park, Carindale",Park,"Cribb Road Park, 62 Cribb Road, Carindale",-27.527,153.1203
"Cromarty Street Park, Kenmore",Park,"Cromarty Street Park, 22 Kingussie Street, Kenmore",-27.5132,152.9309
"Crosby Park, Albion",Park,"Crosby Park, 103 Crosby Road, Albion",-27.4345,153.047
"Crosby Road Park, Ascot",Park,"Crosby Road Park, 150 Crosby Road, Ascot",-27.4327,153.0516
Crossroads Community Garden,Non-Council venue,"Crossroads Community Garden, 91 Maundrell Terrace, Chermside West",-27.3846,153.0126
"Croydon Road Park, Paddington",Park,"Croydon Road Park, 18A Croydon Road, Paddington",-27.4574,152.9887
"Cubberla Creek Reserve, Chapel Hill",Park,"Cubberla Creek Reserve, 129 Fig Tree Pocket Road, Chapel Hill",-27.5151,152.9525
"Curlew Park, Sandgate",Park,"Curlew Park, 74 Curlew Street, Sandgate",-27.3258,153.0747
"Currajong Street Park, Calamvale",Park,"Currajong Street Park, 34 Currajong Street, Calamvale",-27.6175,153.0526
"Cyril Sims Park, Calamvale",Park,"Cyril Sims Park, 29 Marsala Street, Calamvale",-27.6137,153.0599
"D. J. Sherrington Park, Inala",Park,"D. J. Sherrington Park, 601 Blunder Road, Inala",-27.597304,152.986507
"D.J. Sherrington Park, Inala",Park,"D.J. Sherrington Park, 601 Blunder Road, Inala",-27.5976,152.9864
"D.M. Henderson Park, Macgregor",Park,"D.M. Henderson Park, 434 McCullough Street, Macgregor",-27.5711,153.0733
"Daintree Close Park, Doolandella",Park,"Daintree Close Park, 43A Rothburn Street, Doolandella",-27.6201,152.9736
"Daintree Drive Park (no. 65), Parkinson",Park,"Daintree Drive Park, 65 Daintree Drive, Parkinson",-27.6416,153.0297
"Daintree Park, Fitzgibbon",Park,"Daintree Park, 66 Diamantina Crescent, Fitzgibbon",-27.341067,153.030179
"Dairy Swamp Road Park, Tingalpa",Park,"Dairy Swamp Road Park, 50 Castlerea Street, Tingalpa",-27.4842,153.1388
"Dalkeith Park, Kalinga",Park,"Dalkeith Park, 98 Kent Road, Kalinga",-27.4135,153.0426
"Damon Road Park, Lutwyche",Park,"Damon Road Park, 30 Damon Road, Lutwyche",-27.422965,153.024935
"Darien Street Park (no. 29), Bridgeman Downs",Park,"Darien Street Park (no. 29), 29 Darien Street, Bridgeman Downs",-27.358986,152.989615
Darling Point Park (road reserve),Park,"Darling Point Park (road reserve), 95 Lower Esplanade, Manly",-27.4457,153.1831
"Dash Street Park, Keperra",Park,"Dash Street Park, 32 Duggan Street, Keperra",-27.4091,152.9555
"Dasyure Place Park, Wynnum West",Park,"Dasyure Place Park, 47 Dasyure Place, Wynnum West",-27.4615,153.1511
"Davidson Street Park, Newmarket",Park,"Davidson Street Park, 81 Davidson Street, Newmarket",-27.4404,153.002
"Davies Park, West End",Park,"Davies Park, 277 Montague Road, West End",-27.4786,153.0044
"Dawn Street Park, Bardon",Park,"Dawn Street Park, 140 Coopers Camp Road, Bardon",-27.4535,152.9803
"Dead Man's Gully Park, Chermside",Park,"Dead Man's Gully Park, 5 Abarth Street, Chermside",-27.3903,153.0308
"Deagon Sportsground Park, Deagon",Park,"Deagon Sportsground Park, 83 Board Street, Deagon",-27.3214,153.0597
"Decker Park, Brighton",Park,"Decker Park, 18 Twenty-Fifth Avenue, Brighton",-27.286,153.0642
Deep Water Bend Reserve,Park,"Deep Water Bend Reserve, Wyampa Road, Bald Hills",-27.3002,153.037
"Deerhurst Road Park, Kenmore Hills",Park,"Deerhurst Road Park, 573 Brookfield Road, Kenmore Hills",-27.4938,152.9204
"Delapine Place Park, Seventeen Mile Rocks",Park,"Delapine Place Park, 6 Delapine Place, Seventeen Mile Rocks",-27.547,152.9607
"Delavan Street Park, Wishart",Park,"Delavan Street Park, 77 Delavan Street, Wishart",-27.5624,153.0963
Delaware Street Community Garden,"Community Garden,Non-Council venue","Delaware Street Community Garden, 46 Delaware Street, Geebung",-27.3775,153.0417
"Delfin Street Park, Macgregor",Park,"Delfin Street Park, 65 Delfin Drive, Macgregor",-27.5669,153.0685
"Dellow Street Park, Acacia Ridge",Park,"Dellow Street Park, 100 Gregory Street, Acacia Ridge",-27.588,153.0154
"Deniven Street Park, Corinda",Park,"Deniven Street Park, 112 Pratten Street, Corinda",-27.5496,152.986
"Dennis Webb Park, Upper Mount Gravatt",Park,"Dennis Webb Park, 118 Mt Gravatt-Capalaba Road, Upper Mount Gravatt",-27.5569,153.0865
"Dent Park, Nudgee",Park,"Dent Park, 65 St Achs Street, Nudgee",-27.3673,153.0841
"Desmond Avenue Park, Deagon",Park,"Desmond Avenue Park, 30 Desmond Avenue, Deagon",-27.3277,153.058
"Desoto Place Park, Forest Lake",Park,"Desoto Place Park, 26 Carisbrook Circuit, Forest Lake",-27.6268,152.9616
"Devitt Park, Coopers Plains",Park,"Devitt Park, 64 Clinton Street, Coopers Plains",-27.5662,153.036
"Devonshire Street Park, Ashgrove",Park,"Devonshire Street Park, 60 Devonshire Street, Ashgrove",-27.4471,152.9854
"Dewberry Close Park, Eight Mile Plains",Park,"Dewberry Close Park, 16 Dewberry Close, Eight Mile Plains",-27.5861,153.086
"Dianella Reserve, Brighton",Park,"Dianella Reserve, 162 Queens Parade, Brighton",-27.3,153.0539
"Dianthus Street Park (South), Wakerley",Park,"Dianthus Street Park (South), 23 Dianthus Street, Wakerley",-27.4895,153.1527
Dibley Street Park,Park,"Dibley Street Park, 22 Dibley Street, Woolloongabba",-27.4932,153.0337
"Dickinson Close Park, Coopers Plains",Park,"Dickinson Close Park, 27 Orange Grove Road, Coopers Plains",-27.5702,153.0395
"Didbrook Street Park, Robertson",Park,"Didbrook Street Park, 151 Didbrook Street, Robertson",-27.5644,153.0536
"Dillingen Street Park, Chapel Hill",Park,"Dillingen Street Park, 108A Ironbark Road,Chapel Hill",-27.4922368,152.9398873
"Diosma Street Park, Bellbowrie",Park,"Diosma Street Park, 41 Mazzard Street, Bellbowrie",-27.5591,152.8824
"Dittmer Park, Upper Mount Gravatt",Park,"Dittmer Park, 1793 Logan Road, Upper Mount Gravatt",-27.5516,153.0776
"Donaldson Street Park, Norman Park",Park,"Donaldson Street Park, 53 Donaldson Street, Norman Park",-27.4784,153.0557
"Donna Philp Park, Boondall",Park,"Donna Philp Park, 73 Stanworth Road, Boondall",-27.3548,153.066
"Donnington Street Park South, Carindale",Park,"Donnington Street Park South, 871 Creek Road, Carindale",-27.5134,153.0986
"Dorrington Park, Ashgrove",Park,"Dorrington Park, 5 Mirrabooka Road, Ashgrove",-27.4401,152.9858
"Dorville Road Park, Aspley",Park,"Dorville Road Park, 825 Zillmere Road, Aspley",-27.3532,153.0188
"Doulton Street Park, Calamvale",Park,"Doulton Street Park, 154 Illaweena Street, Calamvale",-27.638384,153.052999
"Downey Park, Windsor",Park,"Downey Park, 50 Noble Street, Windsor",-27.4406,153.0232
Downfall Creek Bushland Centre,Park,"Downfall Creek Bushland Centre, 815 Rode Road, McDowall, Australia",-27.3903,153.0055
"Downfall Creek Reserve, Geebung",Park,"Downfall Creek Reserve, 263 Bilsen Road, Geebung",-27.383,153.058
Dowse Lagoon Rotary Park,Park,"Dowse Lagoon Rotary Park, Keogh Street, Sandgate",-27.3089,153.064
"Drevesen Park, Manly",Park,"Drevesen Park, 83 Lower Esplanade, Manly",-27.4468,153.1864
"Ducie Street Park, Darra",Park,"Ducie Street Park, 75 Ebrington Street, Darra",-27.5724,152.95
"Dumbarton Drive Park, Kenmore",Park,"Dumbarton Drive Park, 113 Kilkivan Avenue, Kenmore",-27.5115,152.9273
"Dunlop Park Memorial Swimming Pool, Corinda",Swimming pool,"Dunlop Park Memorial Swimming Pool, 794 Oxley Road, Corinda",-27.5468,152.9825
"Dunlop Park, Corinda",Park,"Dunlop Park, 794 Oxley Road, Corinda",-27.5471,152.9805
"Dunmore Park, Auchenflower",Park,"Dunmore Park, 65 Lang Parade, Auchenflower",-27.4742,152.9995
"Dunphy Street Park, Sunnybank Hills",Park,"Dunphy Street Park, 12 Susannah Street, Sunnybank Hills",-27.5917,153.0582
"Durella Street Park, Durack",Park,"Durella Street Park, 144 Durrang Street, Durack",-27.5927,152.9813
"Durrington Park, Wynnum West",Park,"Durrington Park, 21 Michael Street, Wynnum West",-27.4498,153.1542
"Dutton Park, Dutton Park",Park,"Dutton Park, 359 Gladstone Road, Dutton Park",-27.4965,153.0229
"E C Backwell Park, Archerfield",Park,"E C Backwell Park, 2 Kalang Street, Archerfield",-27.5584,153.0149
"E. E. McCaskie Oval, Kelvin Grove",Park,"E. E. McCaskie Oval, 137 Kelvin Grove Road, Kelvin Grove",-27.4538,153.0127
"E. E. McCormick Place, Brisbane City",Park,"E. E. McCormick Place, 8 Skew Street, Brisbane City",-27.466402,153.014954
"Eagle Farm Road Park, Pinkenba",Park,"Eagle Farm Road Park, 358 Main Myrtletown Road, Pinkenba",-27.4186,153.1217
"Earlson Place, Corinda",Park,"Earlson Place, 640 Oxley Road, Corinda",-27.5388,152.9806
"Eastwood Drive Park, Mansfield",Park,"Eastwood Drive Park, 65 Eastwood Drive, Mansfield",-27.5324,153.1085
"Ed Devenport Rotary Park, Lota",Park,"Ed Devenport Rotary Park, 49 Bowering Street, Lota",-27.469,153.1895
"Ed Kuepper Park, Oxley",Park,"Ed Kuepper Park, 1052 Oxley Road, Oxley",-27.55806,152.982103
"Eden Elm Street Park, Calamvale",Park,"Eden Elm Street Park, 14 Eden Elm Street, Calamvale",-27.6196,153.0546
"Edenbrooke Park, Seventeen Mile Rocks",Park,"Edenbrooke Park, 161 Bellwood Street, Seventeen Mile Rocks",-27.5544,152.9516
"Edinburgh Castle Road Park, Wavell Heights",Park,"Edinburgh Castle Road Park, 105 Edinburgh Castle Road, Wavell Heights",-27.4018,153.0381
"Edward Kelk Park, Wynnum West",Park,"Edward Kelk Park, 240 Sibley Road, Wynnum West",-27.4461,153.1463
"Edwards Park, Carindale",Park,"Edwards Park, 284 Cribb Road, Carindale",-27.5273,153.1049
"Effie Johnson Park, Sunnybank Hills",Park,"Effie Johnson Park, 57 Garro Street, Sunnybank Hills",-27.5892,153.0536
"Einbunpin Lagoon Park, Sandgate",Park,"Einbunpin Lagoon Park, 122 Brighton Road, Sandgate",-27.3195,153.068
"Ekibin Memorial Park, Tarragindi",Park,"Ekibin Memorial Park, 55 Lutzow Street, Tarragindi",-27.5205,153.0456
"Ekibin Park East, Greenslopes",Park,"Ekibin Park East, 133 Juliette Street, Greenslopes",-27.5096,153.0408
"Ekibin Park South, Annerley",Park,"Ekibin Park South, 24 Arnwood Place, Annerley",-27.5134,153.0377
"Elanora Park, Wynnum",Park,"Elanora Park, 22 Saunders Place, Wynnum",-27.4293,153.1696
"Elinga Street Park, Jindalee",Park,"Elinga Street Park, 19 Elinga Street, Jindalee",-27.5328,152.9391
"Elizabeth Bruce Playground Park, Inala",Park,"Elizabeth Bruce Playground Park, 38 Bamboo Street, Inala",-27.5836,152.9716
Ellen Grove mobile library,Mobile library,"Ellen Grove mobile library, Carole Park State School, 260 Waterford Road, Carol Park",-27.6082,152.9345
Elorac Place Community Garden,Community Garden,"Elorac Place Community Garden, 11a Southhampton Road, Ellen Grove",-27.6152,152.9384
"Emerson Park, Grange",Park,"Emerson Park, 125 Grange Road, Grange",-27.4184,153.0185
"Emily Seebohm Aquatic Centre, Fitzgibbon",Swimming pool,"Emily Seebohm Aquatic Centre, 523 Telegraph Road, Fitzgibbon",-27.3321,153.0407
"Emma Miller Place, Brisbane City",Park,"Emma Miller Place, 109 Roma Street, Brisbane City",-27.4671,153.022
"Emmett Street Park, Wynnum West",Park,"Emmett Street Park, 18A Maxwell Place, Wynnum West",-27.4655,153.1531
"Enbrook Parkland, Bracken Ridge",Park,"Enbrook Parkland, 390 Telegraph Road, Bracken Ridge",-27.3309,153.0293
"Endiandra Street Park, Algester",Park,"Endiandra Street Park, 26 Ackama Street, Algester",-27.6184,153.0317
"Englefield Road Park (no. 35-47), Oxley",Park,"Englefield Road Park, 48 Mabel Street, Oxley",-27.5573,152.9754
"Enoggera Creek Reserve, Ashgrove",Park,"Enoggera Creek Reserve, 547 Waterworks Road, Ashgrove",-27.4462,152.9763
"Enoggera Memorial Park, Enoggera",Park,"Enoggera Memorial Park, 95 Hurdcotte Street, Enoggera",-27.4142,152.9878
Enoggera Reservoir Park,Park,"Enoggera Reservoir Park, 36 Mt Nebo Road, Enoggera Reservoir",-27.442,152.9269
"Enoggera Reservoir Park, Enoggera Reservoir",Park,"Enoggera Reservoir Park, 36 Mt Nebo Road, Enoggera Reservoir",-27.442562,152.926685
"Eric Shaw Park, Wynnum",Park,"Eric Shaw Park, 64 Selina Street, Wynnum",-27.4368,153.1642
"Eric Sivell Park, Coorparoo",Park,"Eric Sivell Park, 171 Boundary Road, Coorparoo",-27.504,153.0735
"Eridanus Street Park, Inala",Park,"Eridanus Street Park, 45 Eridanus Street, Inala",-27.5999,152.9627
"Esplanade Park, Yeronga",Park,"Esplanade Park, 50 Esplanade, Yeronga",-27.5151,153.0025
"Essex Road Park, Indooroopilly",Park,"Essex Road Park, 12 Essex Road, Indooroopilly",-27.4995,152.9822
