Name,Category,Website,Address,Suburb,Postcode,Telephone Phone,Latitude,Longitude
Dogwood Crossing Centre,Entertainment,http://www.wdrc.qld.gov.au,Cnr Dawson & Murilla Streets,MILES,4415,(07) 4679 4000,-26.659553,150.18683
Dolphins Health Precinct,Health and Fitness,http://www.dolphinshealthprecinct.com.au,Cnr Klinger & Ashmole Rds,REDCLIFFE,4020,(07) 3880 3729,-31.938472,115.94649
Don Ireland Swimming Complex,Health and Fitness,http://www.rockhamptonregion.qld.gov.au,Pattison St,EMU PARK,4710,(07) 4939 6500,-23.248816,150.820162
Dreamworld,Tourist Attraction,http://www.dreamworld.com.au,1 Dreamworld Parkway,COOMERA,4209,(07) 5588 1111,-27.871445,153.314123
Duffy's Buses,Transport,http://www.duffysbuses.com.au,28 Barolin St,BUNDABERG,4670,(07) 4151 4226,-24.8698,152.350426
Dunlop Park Pool,Health and Fitness,http://www.dunloppark.com.au/,794 Oxley Rd,CORINDA,4075,(07) 3379 1630,-27.546152,152.981803
Eagleby Aquatic Centre,Health and Fitness,http://www.logan.qld.gov.au,Cowper Ave,EAGLEBY,4207,(07) 3287 1247,-27.704087,153.209067
ECHO Bus Service,Transport,http://www.echomalanda.org.au/transport,3 English St,MALANDA,4885,(07) 4096 6634,-17.352798,145.59217
Eden Bros' Good Time Circus,Festivals and Shows,http://www.edencircus.com,Check website for details ,VARIOUS VENUES AND EVENTS,4000,0407 224 680,-27.46598,153.02394
EKKA,Festivals and Shows,http://www.ekka.com.au,RNA Showgrounds Gate entry only,BOWEN HILLS,4006,(07) 3852 1831,-27.450179,153.032482
Emerald Show,Festivals and Shows,http://www.emeraldshow.org.au,Emerald Showgrounds,EMERALD,4720,(07) 4982 4338,-37.946087,145.436005
Empire Fitness Centre,Health and Fitness,http://www.empirefitness.com.au,354 Brisbane Rd,ARUNDEL,4214,(07) 5574 6138,-27.931873,153.372177
Empire Theatre,Theatre and Arts,http://www.empiretheatre.com.au,56 Neil Street,TOOWOOMBA,4350,1300 655 299,-27.562925,151.955852
Emu Park Historical Museum,Tourist Attraction,http://www.emuparkmuseum.org.au,17 Hill St,EMU PARK,4710,(07) 4939 6080,-23.25725,150.825595
Enoggera Family Centre,Health and Fitness,http://www.brisbaneymca.org,240 South Pine Rd,ENOGGERA,4051,(07) 3355 7176,-27.417912,152.994728
Essential Fitness,Health and Fitness,http://www.essential-fitness.com.au,115 Mason Street,MAREEBA,4880,(07) 4092 2208,-17.004196,145.42118
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Myer Centre,BRISBANE,4000,(07) 3027 9999,-27.470677,153.024838
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Pacific Fair Shp Cnt,BROADBEACH,4218,(07) 5572 2666,-28.036551,153.427824
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Grand Plaza Shp Cnt,BROWNS PLAINS,4118,(07) 3809 3422,-27.662895,153.040356
Event Cinemas,Cinema,http://www.eventcinemas.com.au,108 Grafton St,CAIRNS,4870,(07) 4031 1077,-16.921803,145.774355
Event Cinemas,Cinema,http://www.eventcinemas.com.au,"Stockland Shp Cnt, Earlville",CAIRNS,4870,(07) 4057 0000,-16.94421,145.740089
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Cairns Central Shp Cnt,CAIRNS,4870,(07) 4052 1166,-16.924746,145.77154
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Capalaba Central Shp Cnt,CAPALABA,4157,(07) 3823 3860,-27.523227,153.195239
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Westfield Shp Cnt,CARINDALE,4152,(07) 3398 5200,-27.503159,153.101651
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Westfield Shp Cnt,CHERMSIDE,4032,(07) 3632 5500,-27.391479,153.031364
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Showcase on the Beach,COOLANGATTA,4225,(07) 5536 9300,-28.167912,153.538393
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Indooroopilly Shp Cnt,INDOOROOPILLY,4068,(07) 3878 0011,-27.499721,152.972854
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Logan Hyperdome,LOGANHOLME,4129,(07) 3906 4649,-27.684225,153.179625
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Gordon St,MACKAY,4740,(07) 4957 3515,-21.143306,149.174958
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Sunshine Plaza Shp Cnt,MAROOCHYDORE,4558,(07) 5409 7222,-26.654727,153.088533
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Morayfield Shp Cnt,MORAYFIELD,4506,(07) 5495 1444,-27.102955,152.95034
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Grandview Drive,NORTH MACKAY,4740,(07) 4942 4055,-21.122709,149.159535
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Stockland Shp Cnt,NTH ROCKHAMPTON,4701,(07) 4926 6977,-23.348178,150.522748
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Australia Fair Shp Cnt,SOUTHPORT,4215,(07) 5531 2200,-27.963654,153.41424
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Westfield Shp Cnt,STRATHPINE,4500,(07) 3881 2037,-27.306786,152.993389
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Centro Toombul Shp Cnt,TOOMBUL,4012,(07) 3260 6444,-27.416667,153.05
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Strand Cinema - 163 Margaret St,TOOWOOMBA,4350,(07) 4639 3861,-27.561998,151.957903
Event Cinemas,Cinema,http://www.eventcinemas.com.au,"Grand Central Cinema, cnr Margaret/Dent Sts",TOOWOOMBA,4350,(07) 4638 0879,-27.560664,151.950516
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Cnr Sturt/Blackwood Sts,TOWNSVILLE,4810,(07) 4771 4101,-19.262257,146.813218
Event Cinemas,Cinema,http://www.eventcinemas.com.au,Garden City Shp Cnt,UPPER MT GRAVATT,4122,(07) 3849 0011,-27.56305,153.082779
Event Cinemas ,Cinema,http://www.eventcinemas.com.au,cnr Brisbane/Ellenborough Sts,IPSWICH,4305,(07) 3281 8887,-27.613962,152.757882
Event Cinemas ,Cinema,http://www.eventcinemas.com.au,Robina Town Centre,ROBINA,4230,(07) 5575 9955,-28.071929,153.365207
Expressions Dance Company - Performances,Theatre and Arts,http://www.expressions.org.au,QPAC - Cnr Grey/Melbourne Sts,SOUTH BRISBANE,4101,(07) 3257 4222,-27.473978,153.018398
"Expressions Dance Company - Performances, classes,",Theatre and Arts,http://www.expressions.org.au,"Judith Wright Centre, 420 Brunswick St",FORTITUDE VALLEY,4006,(07) 3257 4222,-27.456794,153.035591
Family New Years Eve,Festivals and Shows,(blank),Nicholson St,DALBY,4405,(07) 4662 5251,-27.182552,151.254066
"Farm Fantastic Rural, Home & Lifestyle Expo",Festivals and Shows,http://www.farmfantastic.com,140 Beerburrum Rd,CABOOLTURE,4510,(07) 5490 1440,-27.067057,152.947542
Feelgood Fitness,Health and Fitness,http://www.feelgoodfitness.net/warwick,118 Palmerin Street,WARWICK,4370,(07) 4667 1211,-28.217557,152.032642
Femnasium Mackay,Health and Fitness,http://www.femnasium.com.au,118 Wood Street,MACKAY,4740,(07) 4944 0420,-21.144252,149.185041
Fernvale Indoor Sports Centre,Health and Fitness,http://www.fernvaleisc.com.au,32 Banks Creek Rd,FERNVALE,4306,(07) 5426 7520,-27.454918,152.657656
Fernwood Carindale,Health and Fitness,http://www.fernwoodfitness.com.au,14 Carindale Street,CARINDALE,4152,(07) 3395 3377,-27.50133,153.104557
Fernwood Chermside,Health and Fitness,http://www.fernwoodfitness.com.au,Westfield Shopping Centre,CHERMSIDE,4032,(07) 3861 5900,-27.385146,153.032314
Fernwood Everton Park,Health and Fitness,http://www.fernwoodfitness.com.au,747 Stafford Rd,EVERTON PARK,4053,(07) 3855 5777,-27.407472,152.996863
Fernwood Fitness Browns Plains,Health and Fitness,http://www.fernwoodfitness.com.au,48c Browns Plains,BROWNS PLAINS,4118,(07) 3800 0011,-27.662672,153.055267
Fernwood Maroochydore,Health and Fitness,http://www.fernwoodfitness.com.au,Sunshine Homemaker Centre,MAROOCHYDORE,4558,(07) 5479 0744,-26.652515,153.078983
Fernwood Morayfield,Health and Fitness,http://www.fernwoodfitness.com.au,379 Morayfield Road,MORAYFIELD,4510,(07) 5433 1187,-27.120593,152.956901
Fernwood Noosa,Health and Fitness,http://www.fernwoodfitness.com.au ,U 5  8 Selkirk Dr,NOOSAVILLE,4566,(07) 5442 4104,-26.412785,153.049914
Fernwood North Lakes,Health and Fitness,http://www.fernwoodfitness.com.au ,5-7 Discovery Drive,NORTH LAKES,4509,(07) 3886 4225,-27.240788,153.023339
Fernwood Petrie,Health and Fitness,http://www.fernwoodfitness.com.au,3 O'Loan Street,PETRIE,4502,(07) 3285 5577,-27.271064,152.97776
Fernwood Robina,Health and Fitness,http://www.fernwoodfitness.com.au,"Robina Town Centre, Arbour Lane Terraces",ROBINA,4230,(07) 5593 0938,-28.071929,153.365207
Ferny Hills Swimming Pool,Health and Fitness,http://www.fernyhillspool.com.au,71 Ferny Way,FERNY HILLS,4055,(07) 3351 1338,-27.401136,152.944285
Ferry Service Magnetic Island,Transport,http://www.sealinkqld.com.au,Breakwater Terminal Sir Leslie Thiess Dr,TOWNSVILLE,4810,(07) 4726 0800,-19.255062,146.824043
Ferry Service Palm Island,Transport,http://www.sealinkqld.com.au,Breakwater Terminal Sir Leslie Thiess Dr,TOWNSVILLE,4810,(07) 4726 0800,-19.255062,146.824043
Fitness Australia (Statewide),Health and Fitness,http://www.fitness.org.au,Over 220 Queensland locations,QUEENSLAND,4000,1800 885 560,-22.486941,144.43167
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,320 Adelaide Street,BRISBANE CITY,4000,1300 557 799,-27.464814,153.029023
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,803 Creek Road,CARINDALE,4152,1300 557 799,-27.517081,153.098017
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,230 Brunswick Street,FORTITUDE VALLEY,4006,1300 557 799,-27.45583,153.03404
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,322 Moggill Road,INDOOROOPILLY,4068,1300 557 799,-27.499721,152.972854
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,461-473 Lutwyche Road,LUTWYCHE,4030,1300 557 799,-27.425291,153.033076
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,Cnr Bermuda Street/Hooker Boulevard,MERMAID WATERS,4218,1300 557 799,-28.035217,153.40858
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,Cnr North Quay/Herschel Street,NORTH QUAY,4000,1300 557 799,-27.46823,153.018479
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,Bermuda Street,ROBINA,4230,1300 557 799,-28.05836,153.414773
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,5 Lawson Street,SOUTHPORT,4215,1300 557 799,-27.970342,153.413672
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,1-11 Lexington Road,SPRINGWOOD,4127,1300 557 799,-33.694074,150.575818
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,9 Sherwood Road,TOOWONG,4066,1300 557 799,-27.485048,152.992507
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,2084 Logan Road,UPPER MOUNT GRAVATT,4122,1300 557 799,-27.56021,153.082742
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,2021 Wynnum Rd,WYNNUM,4178,1300 557 799,-27.456813,153.155594
Fitness n Motion,Health and Fitness,http://www.fnm.com.au,5  85 Michael Ave,MORAYFIELD,4506,(07) 5428 2088,-27.101627,152.94595
Fitness Paradise Gym and Health Club,Health and Fitness,http://www.fitnessparadise.com.au,51-63 Macrossan Street,PORT DOUGLAS,4877,(07) 4099 5561,-16.485263,145.466786
Fitness Venue Whitsunday,Health and Fitness,http://www.fitnessvenue.com.au,173 Shute Harbour Rd,CANNONVALE,4802,(07) 4946 7703,-20.276796,148.697546
Fitness Venue Whitsunday,Health and Fitness,http://www.sportvenue.com.au,32 Chapman Street,PROSERPINE,4800,(07) 4945 4492,-20.403035,148.582726
Forest Lake Fitness,Health and Fitness,http://www.forestlakefitness.com.au,Cnr Forest Lake Bvd/High Sts,FOREST LAKES,4078,(07) 3279 9450,-27.624976,152.970244
Fort Lytton National Park,Tourist Attraction,http://www.npsr.qld.gov.au,South St,LYTTON,4178,(07) 3393 4647,-27.419187,153.151869
Fraser Coast Market,Tourist Attraction,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH,4650,(07) 4123 5311,-25.535773,152.722274
Fraser Coast Regional Council,Council,http://www.frasercoast.qld.gov.au,Tavistock St,HERVEY BAY,4655,(07) 4197 4337,-25.300307,152.862188
Fraser Coast Show,Festivals and Shows,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH ,4650,(07) 4123 5311,-25.535773,152.722274
Fraser Coast Show Youth Concert,Festivals and Shows,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH,4650,(07) 4123 5311,-25.535773,152.722274
Fraser Coast Tourism and Events,Festivals and Shows,http://www.visitfrasercoast.com/events,See website for details,HERVEY BAY,4655,(07) 4196 9600,-25.290001,152.84
Fraser Coast Ute Show,Festivals and Shows,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH,4650,(07) 4123 5311,-25.535773,152.722274
Freedom Health and Fitness,Health and Fitness,http://freedomhealthandfitness.com.au/beaudesert/,13 Duckett Street,BEAUDESERT,4285,(07) 5541 0999,-27.989004,153.000513
Function Well Personalised Health & Fitness Centre,Health and Fitness,http://www.functionwell.com.au,54 Doggett Street,NEWSTEAD,4005,(07) 3852 3938,-27.453698,153.043278
Gallery of Modern Art (GoMA),Theatre and Arts,http://www.qag.qld.gov.au,Stanley Pl,SOUTH BRISBANE,4101,(07) 3840 7303,-27.472012,153.01762
Gayndah Annual Show,Festivals and Shows,(blank),Spencer St,GAYNDAH,4625,(07) 4161 1477,-25.625533,151.599441
Gayndah YMCA,Health and Fitness,(blank),24 Fielding St,GAYNDAH,4625,(07) 4161 1377,-25.62432,151.604102
GC Aqua Park,Sport and Recreation,http://www.gcaquapark.com.au,Broadwater Parklands - Marine Pde,SOUTHPORT,4215,(07) 5522 8222,-27.957262,153.409588
GC Wake Park,Sport and Recreation,http://www.gcwakepark.com.au,34 Maudsland Rd,OXENFORD,4210,(07) 5522 8222,-27.908006,153.28698
Generations Healthy Life Centre,Health and Fitness,(blank),Lot 2 Old Sheep Yard Place,EMERALD,4720,(07) 4987 7319,-23.525246,148.15244
Genesis Fitness Jindalee,Health and Fitness,http://www.genesisjindalee.com.au,225 Sinnamon Rd,JINDALEE,4074,(07) 3713 3999,-27.531274,152.945116
Genesis Fitness Lawnton,Health and Fitness,http://www.genesisfitness.com.au,53 Lawnton Pocket Rd,LAWNTON,4501,(07) 3481 4555,-27.283125,152.989899
Genesis Fitness Rothwell,Health and Fitness,http://www.genesisfitness.com.au,Building 4 Morris Road West,ROTHWELL,4022,(07) 3204 9300,-27.210179,153.047393
Genesis Fitness Townsville,Health and Fitness,http://www.genesisfitness.com.au,45 Carthew Streeet,KIRWAN,4817,(07) 4723 1490,-19.314488,146.723778
Genesis Fitness Windsor,Health and Fitness,http://www.genesisfitness.com.au,"Homezone, 142 Newmarket Rd",WINDSOR,4030,(07) 3857 9000,-34.409823,138.314478
Georgie Conway Leichhardt Community Swim Centre,Sport and Recreation,http://www.ipswich.qld.gov.au/residents/healthy_li,"Leichhardt Swim Centre, Toongarra Rd",LEICHHARDT,4305,(07) 3281 8743,-33.882418,151.154762
Gin Gin Swimming Pool,Health and Fitness,http://www.bundaberg.qld.gov.au,45 Sommerset St,GIN GIN,4671,(07) 4157 2155,-24.991269,151.952551
Gladstone Aquatic Centre,Health and Fitness,http://www.gladstonerc.qld.gov.au,Glenlyon Rd,GLADSTONE,4680,(07) 4972 6822,-23.875555,151.261193
Gladstone Bowls Club,Sport and Recreation,(blank),6A Ferris St,GLADSTONE CENTRAL,4680,(07) 4972 1191,-23.849854,151.258812
Gladstone Buslink,Transport,http://www.buslinkqld.com.au/,9 Lyons St,GLADSTONE,4680,(07) 4972 1670,-23.857425,151.264482
Gladstone Entertainment Centre,Sport and Recreation,http://www.gladstonerc.qld.gov.au,58 Goondoon St,GLADSTONE,4680,(07) 4972 2822,-23.850802,151.260621
Gladstone Regional Council,Council,http://www.gladstonerc.qld.gov.au,101 Goondoon St,GLADSTONE,4680,(07) 4970 0700,-23.843297,151.255177
Gladstone Show,Festivals and Shows,(blank),Tank & Scenery Streets,GLADSTONE,4680,(07) 4972 1453,-23.851808,151.254056
Gladstone Speedway,Sport and Recreation,(blank),Tank & Scenery Streets,GLADSTONE,4680,0407 720 172,-23.851808,151.254056
Glasshouse Country Coaches,Transport,(blank),242 Pikes Rd,BEERWAH,4519,(07) 5496 9249,-26.882092,152.930626
Go Bush Activities - Brisbane Forest Park,Sport and Recreation,http://www.npsr.qld.gov.au,60 Mt Nebo Rd,THE GAP,4061,1300 130 372,-27.433604,152.924824
Go Bush Activities - Daisy Hill,Sport and Recreation,http://www.npsr.qld.gov.au,Daisy Hill Road,DAISY HILL,4127,1300 130 372,-27.637897,153.154465
Go Health Club Beenleigh,Health and Fitness,http://www.gohealthclubs.com.au,77 George St,BEENLEIGH,4207,(07) 3287 3344,-28.093001,153.449714
Go Health Club Browns Plains,Health and Fitness,http://www.gohealthclubs.com.au,18 Eastern Road,BROWNS PLAINS,4118,(07) 3809 2244,-27.663509,153.044085
Gold Coast Arts Centre,Theatre and Arts,http://www.gcac.com.au,135 Bundall Rd,SURFERS PARADISE,4217,(07) 5581 6500,-28.001514,153.416683
Gold Coast Blaze,Sport and Recreation,http://www.nbl.com.au,Oasis Shp Cnt,BROADBEACH,4218,1300 252 934,-28.029828,153.431949
Gold Coast Little Theatre,Theatre and Arts,http://www.gclt.com.au,21a Scarborough St,SOUTHPORT,4215,(07) 5532 2096,-27.971654,153.416268
Gold Coast Mother's Day Classic,Sport and Recreation,http://www.mothersdayclassic.com.au,Pratten Park - see website for details,BROADBEACH,4218,1300 132 891,-28.027544,153.431298
Gold Coast Recreation Centre,Sport and Recreation,http://www.npsr.qld.gov.au,1525 Gold Coast Hwy,PALM BEACH,4221,(07) 5507 0200,-28.098776,153.460409
Gold Coast Show,Festivals and Shows,http://www.goldcoastshow.com.au,Cnr Smith St/Parklands Dr,SOUTHPORT,4215,(07) 5591 3422,-12.730334,130.952822
Gold Coast SUNS (conditions apply),Sport and Recreation,http://www.goldcoastfc.com.au,Nerang-Broadbeach Road,CARRARA,4211,1300 136 122,-28.014454,153.347877
Gold Coast United Football Club,Sport and Recreation,http://www.goldcoastunited.com.au,Skilled Park,ROBINA,4226,(07) 5559 3906,-28.070784,153.393185
Good Life Health Clubs,Health and Fitness,http://www.goodlifehealthclubs.com.au,7027 Southport Nerang Rd,NERANG,4211,(07) 5578 0000,-27.986237,153.338296
Good Life Health Clubs,Health and Fitness,http://www.goodlifehealthclubs.com.au,19 Robina Town Centre,ROBINA,4226,(07) 5562 3700,-28.077309,153.385307
Goodlife Community Centre Fitness,Health and Fitness,http://www.goodlife.org.au,100 Buderim Pines Drive,BUDERIM PINES,4556,(07) 5444 2126,-26.686768,153.089949
Goodlife Health Club 103,Health and Fitness,http://www.goodlifehealthclubs.com.au,103 Edward Street,BRISBANE,4000,(07) 3229 0422,-27.4701,153.029064
Goodlife Health Club Alexandra Hills,Health and Fitness,http://www.goodlifehealthclubs.com.au,4-10 Windemere Rd,ALEXANDRA HILLS,4161,(07) 3820 1888,-27.52478,153.216171
Goodlife Health Club Ashgrove,Health and Fitness,http://www.goodlifehealthclubs.com.au,"Highpoint Plaza, 240 Waterworks Road",ASHGROVE,4060,(07) 3366 7706,-27.44594,152.99304
Goodlife Health Club Bardon,Health and Fitness,http://www.goodlifehealthclubs.com.au,92 Coolibah Street,BARDON,4065,(07) 3366 3511,-27.455873,152.980631
Goodlife Health Club Booval,Health and Fitness,http://www.goodlifehealthclubs.com.au,Booval Shopping Centre,BOOVAL,4305,(07) 3812 4455,-27.613345,152.786891
Goodlife Health Club Caloundra,Health and Fitness,http://www.goodlifehealthclubs.com.au,54 Caloundra Road,CALOUNDRA,4551,(07) 5413 4600,-26.795922,153.104951
Goodlife Health Club Carseldine,Health and Fitness,http://www.goodlifehealthclubs.com.au,16 Graham Road,CARSELDINE,4034,(07) 3263 9333,-27.356488,153.014321
Goodlife Health Club Chermside,Health and Fitness,http://www.goodlifehealthclubs.com.au,Westfield Shopping Centre,CHERMSIDE,4032,(07) 3326 5555,-27.385146,153.032314
Goodlife Health Club Cleveland,Health and Fitness,http://www.goodlifehealthclubs.com.au,42 Shore Street,CLEVELAND,4160,(07) 3401 9300,-27.524724,153.26437
Goodlife Health Club Graceville,Health and Fitness,http://www.goodlifehealthclubs.com.au,166 Graceville Ave,GRACEVILLE,4075,(07) 3379 3791,-27.522789,152.98884
Goodlife Health Club Helensvale,Health and Fitness,http://www.goodlifehealthclubs.com.au,L 1 Westfield Shp Cnt,HELENSVALE,4212,(07) 5581 2666,-27.929993,153.336956
Goodlife Health Club Holland Park,Health and Fitness,http://www.goodlife.org.au,193 Nursery Rd,HOLLAND PARK,4121,(07) 3849 9700,-27.530232,153.071368
Goodlife Health Club Hyperdome,Health and Fitness,http://www.goodlifehealthclubs.com.au,Logan Hyperdome,SHAILER PARK,4128,(07) 3806 5999,-27.649733,153.177501
Goodlife Health Club Ipswich,Health and Fitness,http://www.goodlifehealthclubs.com.au,Riverlink Shopping Centre,NORTH IPSWICH,4305,(07) 3813 6655,-27.59398,152.760851
Goodlife Health Club Morningside,Health and Fitness,http://www.goodlifehealthclubs.com.au,92 Junction Rd,MORNINGSIDE,4170,(07) 3896 0900,-27.462751,153.080925
Goodlife Health Club Nth Rockhampton,Health and Fitness,http://www.goodlifehealthclubs.com.au,147 Robinson Street,NTH ROCKHAMPTON,4701,(07) 4928 0333,-23.350935,150.527152
Goodlife Health Club The Valley,Health and Fitness,http://www.goodlifehealthclubs.com.au,"Homemaker City North, Wickham Street",FORTITUDE VALLEY,4006,(07) 3358 8400,-27.456794,153.035591
Goodlife Health Club Wintergarden,Health and Fitness,http://www.goodlifehealthclubs.com.au,"Level 3, Wintergarden",BRISBANE,4000,(07) 3231 9955,-27.467781,153.02806
Goombungee Rodeo,Sport and Recreation,(blank),Showgrounds,GOOMBUNGEE,4354,(07) 4694 5470,-27.305056,151.846025
Goombungee-Haden Annual Show,Festivals and Shows,(blank),Showgrounds,GOOMBUNGEE,4354,(07) 4696 5470,-27.305056,151.846025
Goomeri Swimming Pool,Sport and Recreation,http://gympieswimmingpools.com.au,Moore St,GOOMERI,4601,(07) 4168 4201,-26.184004,152.068875
Gordonvale Aquatic Centre,Health and Fitness,(blank),79 Sheppards St,GORDONVALE,4865,(07) 4056 1353,-17.089251,145.780476
Greenmount Historic Homestead,Tourist Attraction,http://www.mackay.qld.gov.au,Greenmount Rd,WALKERSTON,4751,(07) 4959 2250,-21.171631,149.03245
Gulflander,Transport,http://www.gulflander.com.au,Normanton to Croydon,QUEENSLAND,4870,(07) 4036 9355,-22.486941,144.43167
Gym4,Health and Fitness,http://www.gym4.com.au,93 Logan River Road,BEENLEIGH,4207,(07) 3807 4622,-27.713067,153.183391
Gympie Aquatic Recreation Centre,Health and Fitness,http://gympiearc.com.au/,Tozer Park Rd,GYMPIE,4570,1300 129 988,-26.187131,152.675363
Gympie Music Muster,Festivals and Shows,http://www.muster.com.au,See website for venue details,GYMPIE,4570,(07) 5482 2099,-26.183333,152.665831
Gympie Show,Festivals and Shows,http://www.gympieshow.com.au,Exhibition Rd,GYMPIE,4570,(07) 5482 1721,-26.205594,152.641577
Haidleys Panoramic Coaches,Transport,(blank),7 Lyons St,WARWICK,4370,(07) 4661 2816,-28.217523,152.039589
Harry Redford Centre,Tourist Attraction,http://www.barcaldinerc.qld.gov.au,Lodge Street,ARAMAC,4726,(07) 4651 5600,-22.973126,145.244948
Hartley's Crocodile Adventures,Tourist Attraction,http://www.crocodileadventures.com,Captain Cook Hwy,WANGETTI,4877,(07) 4055 3576,-16.658793,145.566489
Hasties Bus Service,Transport,(blank),23 Charles St,INNISFAIL,4860,(07) 4061 2043,-17.52498,146.026152
Hawthorne Cinemas - Conditions apply see website,Cinema,http://www.cineplex.com.au,271 Hawthorne Rd,HAWTHORNE,4171,(07) 3395 6086,-27.467395,153.059364
Health Club Hervey Bay,Health and Fitness,http://www.herveybayhealthclub.com.au,184 Dayman St,HERVEY BAY,4655,(07) 4128 9355,-25.289305,152.888024
Healthworks Cleveland,Health and Fitness,http://www.healthworksfitness.com.au,22 John Street,CLEVELAND,4163,(07) 3821 0100,-27.529452,153.26616
Healthworks Fitness Deagon,Health and Fitness,http://www.healthworksfitness.com.au,Deagon Market Square,DEAGON,4017,(07) 3269 5200,-27.327815,153.058856
Healthworks Fitness Margate,Health and Fitness,http://www.healthworksfitness.com.au,328 Oxley Avenue,MARGATE,4019,(07) 3284 3155,-27.241358,153.107763
Healthworks Fitness Sunnybank,Health and Fitness,http://www.healthworksfitness.com.au,Cnr Calam & Compton Rds,SUNNYBANK HILLS,4109,(07) 3272 0148,-27.609919,153.055454
Herbert River Pastoral & Agricultural Show,Festivals and Shows,(blank),Cooper St,INGHAM,4850,(07) 4776 5162,-18.655088,146.148332
Hervey Bay Aquatic Centre,Health and Fitness,http://www.frasercoast.qld.gov.au,Boundary Rd,HERVEY BAY,4655,(07) 4125 9722,-25.302001,152.86934
Hibiscus Sports Centre,Health and Fitness,(blank),90 Klumpp Rd,UPPER MT GRAVATT,4122,(07) 3403 7564,-27.552885,153.072669
Highfields Pioneer Village ,Tourist Attraction,http://www.highfieldspioneervillage.com.au/,73 Wirraglen Rd,HIGHFIELDS,4352,(07) 4696 6309,-27.441125,151.957153
Hinchinbrook Shire Council,Council,http://www.hinchinbrook.qld.gov.au,25 Lannercost St,INGHAM,4850,(07) 4776 4600,-18.651262,146.154284
Hinkler Hall of Aviation,Tourist Attraction,http://www.bundaberg.qld.gov.au,6 Mount Perry Rd,BUNDABERG,4670,(07) 4130 4400,-24.853078,152.33645
Hi-Tec Oils Toowoomba Speedway,Sport and Recreation,http://www.toowoombaspeedway.com,100 Wirths Rd,CHARLTON,4350,(07) 4630 4197,-27.530252,151.860889
Hockey Queesland Inc,Sport and Recreation,http://www.hockeyqld.com.au,State Hockey Centre,COLMSLIE,4170,(07) 3399 6577,-27.450001,153.066666
Hornibrook Bus Lines,Transport,http://www.hornibrook.com.au,19 Grice St,CLONTARF,4019,(07) 3284 1622,-27.239311,153.078677
Hou Wang Temple at Atherton Chinatown,Tourist Attraction,http://nationaltrust.org.au,86 Herberton Rd,ATHERTON,4883,(07) 4091 6945,-17.277983,145.471506
Hoyts Redcliffe,Cinema,http://www.hoyts.com.au,Peninsula Fair Shopping Centre,REDCLIFFE,4020,(02) 8071 6132,-31.938472,115.94649
Hoyts Stafford,Cinema,http://www.hoyts.com.au,Stafford City Shopping Centre,STAFFORD,4032,(02) 8071 6132,-27.407487,152.998477
Hoyts Sunnybank,Cinema,http://www.hoyts.com.au,Sunnybank Plaza Shopping Centre,SUNNYBANK,4109,(02) 8071 6132,-27.570465,153.061695
HSBC INternational Rugby Sevens World Series,Sport and Recreation,http://www.rugby.com.au,Skilled Park,ROBINA,4218,(02) 8005 5584,-28.070784,153.393185
Hub Total Fitness,Health and Fitness,http://www.hubfitness.com.au,Shop 7  85 Sun Valley Rd,GLADSTONE,4680,(07) 4978 4111,-23.881145,151.250809
